file,title,year,certainty
104184355,"Comical sayings of Pady from Cork, with his coat button'd behind - L.C.2803(4)",1800,
104184356,"Scots piper's queries , or, John Falkirk's caraches - L.C.2803(5)",1800,
104184357,"Comical sayings of Pady from Cork, with his coat button'd behind - L.C.2803(6)",1800,
104184358,"Scots piper's queries, or, John Falkirk's carriches - L.C.2803(7)",1790,
104184359,"Oration on the virtues of old women, and the pride of the young - L.C.2803(8)",1800,
104184360,History of Jack and the giants - L.C.2803(9),1800,
104184361,History of the king and the cobler - L.C.2804(1),1800,
104184362,"Comical and entertaining dialogue, between a generous tradesman and his old stingy wife - L.C.2804(10)",1800,
104184363,Christ the saviour of the world - L.C.2804(11),1802,
104184364,"Account of a most surprising savage girl, who was caught wild in the woods of Champagne, a province in France - L.C.2804(12)",1800,
104184365,Partridge and Flamstead's new and well experienced fortune book - L.C.2804(13),1800,
104184366,"Life & transactions of Mrs. Jane Shore, concubine to King Edward IV - L.C.2804(14)",1800,
104184367,"History of dreams, or, Dreams interpreted, &c. - L.C.2804(15)",1800,
104184368,Three crump twin brothers of Damascus - L.C.2804(16),1809,
104184369,Ancient and modern history of the Russian Empire - L.C.2804(17),1813,
104184370,"History of Adam Bell, Clim of the Clough, and William of Cloudeslie - L.C.2804(18)",1800,
104184371,"History of the Devil, ancient and modern - L.C.2804(19)",1800,
104184372,Sleeping beauty in the wood - L.C.2804(2),1800,
104184373,Battle of Waterloo - L.C.2804(20),1815,
104184374,Wife of Beith - L.C.2804(3),1800,
104184375,Fairy tales - L.C.2804(4),1800,
104184376,History of the king and the cobbler - L.C.2804(5),1800,
104184377,"Satan's decoy, or, The youth's faith in Christ - L.C.2804(6)",1800,
104184378,"Answer to Andrew Moffat's small poem, on singing church-music - L.C.2804(7)",1829,
104184379,Henry Blyth's contract - L.C.2804(8),1800,
104184380,Merry tales of the wise men of Gotham - L.C.2804(9),1800,
104184381,Gosport tragedy - L.C.2805(1),1800,
104184382,"Buchanshire tragedy, or, Sir James the Ross - L.C.2805(10)",1800,
104184383,"Fisherman's garland, or, The cruel knight - L.C.2805(11)",1800,
104184384,Penny worth of wit - L.C.2805(12),1800,
104184385,"Dorsetshire garland, or, The beggar's wedding - L.C.2805(13)",1800,
104184386,Three songs - L.C.2805(14),1800,
104184387,Five new songs - L.C.2805(15),1800,
104184388,Four new songs - L.C.2805(16),1800,
104184389,Three songs - L.C.2805(17),1800,
104184390,Three songs - L.C.2805(18),1800,
104184391,"Poor nevoy press'd at the desire of the deceitful uncle, or, Young Grigor's ghost - L.C.2805(19)",1800,
104184392,Jamie and Nancy of Yarmouth - L.C.2805(2),1800,
104184393,Black-ey'd Susan's garland - L.C.2805(20),1800,
104184394,Two excellent songs - L.C.2805(22),1800,
104184395,"Buchanshire tragedy, or, Sir James the Ross - L.C.2805(23)",1800,
104184396,Three songs - L.C.2805(24),1800,
104184397,Sweet William of Plymouth - L.C.2805(25),1800,
104184398,Five songs - L.C.2805(26),1800,
104184399,Pretty green-coat boy's garland - L.C.2805(3),1800,
104184400,Factor's garland - L.C.2805(4),1800,
104184401,"Age and life of man, or, A short description of the natur [sic], rise, and fall, according to the twelve months of the year - L.C.2805(5)",1800,
104184402,"Three excellent, new songs - L.C.2805(6)",1800,
104184403,"Andrew Lammie, or, Mill of Tiftie's Annie - L.C.2805(7)",1800,
104184404,Six songs - L.C.2805(8),1800,
104184405,"Great messenger of mortality, or, A dialogue betwixt death and a lady - L.C.2805(9)",1800,
104184406,Hunting of Chevy Chace - L.C.2806(1),1800,
104184407,Four songs - L.C.2806(10),1800,
104184408,Three excellent new sons [sic] - L.C.2806(11),1800,
104184409,Four new songs - L.C.2806(12),1800,
104184410,Three songs - L.C.2806(13),1800,
104184411,Four songs - L.C.2806(14),1800,
104184412,Blaeberries - L.C.2806(15),1800,
104184413,"Afflicted parents, or, The undutiful child punished - L.C.2806(16)",1800,
104184414,Six new songs - L.C.2806(17),1800,
104184415,"Oxfordshire tragedy, or, The virgin's advice - L.C.2806(18)",1800,
104184416,Babes in the wood - L.C.2806(19),1800,
104184417,Young Beichan and Susie Pye - L.C.2806(2),1800,
104184418,"Battle of the Boyn, o[r], King William crosing [sic] the Boyn Water - L.C.2806(20)",1800,
104184419,"Berkshire lady, or, Batchelors of every statioh [sic] - L.C.2806(21)",1800,
104184420,Penny-worth of wit - L.C.2806(22),1800,
104184421,Five excellent new songs - L.C.2806(23),1800,
104184422,"Fisherman's garland, or, The cruel knight - L.C.2806(24)",1800,
104184423,Penny worth of wit - L.C.2806(25),1800,
104184424,"Heir of Linne, an old ballad - L.C.2806(26)",1800,
104184425,"Buchanshire tragedy, or, Sir James the Ross - L.C.2806(27)",1800,
104184426,"Age and life of man, or, A short description of the nture [sic], rise, and fall, according to the 12 months of the year - L.C.2806(28)",1800,
104184427,Factor's garland - L.C.2806(29),1800,
104184428,"Old man outwitted, or, The fortunate lovers - L.C.2806(3)",1800,
104184429,Factor's garland - L.C.2806(30),1800,
104184430,Black-ey'd Susan's garland - L.C.2806(31),1800,
104184431,Black-ey'd Susan's garland - L.C.2806(32),1800,
104184432,Tragedy of Gill Morice - L.C.2806(4),1800,
104184433,Young Gregor's ghost in three parts - L.C.2806(5),1800,
104184434,"Handsome cobler, or, The father outwitted - L.C.2806(6)",1800,
104184435,Gosport tragedy - L.C.2806(7),1800,
104184436,"Weather beaten soger, or, The burgo-master of Venice - L.C.2806(8)",1800,
104184437,Two excellent songs - L.C.2806(9),1800,
104184438,Six excellent new songs - L.C.2807(1),1800,
104184439,Three songs - L.C.2807(10),1800,
104184440,Three songs - L.C.2807(11),1800,
104184441,Six new songs - L.C.2807(12),1800,
104184442,Four excellent songs - L.C.2807(13),1800,
104184443,Two songs - L.C.2807(14),1800,
104184444,Four songs - L.C.2807(15),1800,
104184445,Four songs - L.C.2807(16),1814,
104184446,Four songs - L.C.2807(17),1800,
104184447,Battle of Boyn Water - L.C.2807(18),1800,
104184448,Three songs - L.C.2807(19),1800,
104184449,Three excellent songs - L.C.2807(2),1800,
104184450,Three songs - L.C.2807(20),1800,
104184452,Four excellent new songs - L.C.2807(21),1800,
104184453,Five sonsg [sic] - L.C.2807(22),1800,
104184454,Three songs - L.C.2807(23),1800,
104184455,Babes in the wood - L.C.2807(24),1800,
104184456,Three songs - L.C.2807(25),1800,
